category,sl.no.,ministry/department,scheme,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,budget_estimates_2022_2023_revenue,budget_estimates_2022_2023_capital,budget_estimates_2022_2023_total,revised_estimates2022_2023_revenue,revised_estimates_2022_2023_capital,revised_estimates2022_2023_total,budget_estimates2023_2024_revenue,budget_estimates2023_2024_capital,budget_estimates2023_2024_total,validated_total_2021_2022,validated_total_2021_2022_check
Demand No. 9,52.01,Ministry of Coal,Pragramme Component,39.01,0.0,39.01,20.75,0.0,20.75,35.69,0.0,35.69,37.35,0.0,37.35,39.01,True
Demand No. 10,0,Department of Commerce,Total,17.81,0.0,17.81,25.01,0.0,25.01,25.5,0.0,25.5,22.22,0.0,22.22,17.81,True
Demand No. 10,53,Department of Commerce,Marine Product Export Development Authority (MPEDA),7.99,0.0,7.99,8.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,8.0,7.99,True
Demand No. 10,54,Department of Commerce,Tea Board,1.03,0.0,1.03,5.42,0.0,5.42,5.42,0.0,5.42,5.42,0.0,5.42,1.03,True
Demand No. 10,55,Department of Commerce,Coffee Board,0.5,0.0,0.5,3.3,0.0,3.3,4.29,0.0,4.29,3.3,0.0,3.3,0.5,True
Demand No. 10,56,Department of Commerce,Rubber Board,4.29,0.0,4.29,4.29,0.0,4.29,4.29,0.0,4.29,2.5,0.0,2.5,4.29,True
Demand No. 10,57,Department of Commerce,Spices Board,4.0,0.0,4.0,4.0,0.0,4.0,3.5,0.0,3.5,3.0,0.0,3.0,4.0,True
Demand No. 13,0,Department of Telecommunications,Total,27.03,0.0,27.03,41.5,0.0,41.5,41.5,0.0,41.5,460.65,415.0,875.65,27.03,True
Demand No. 13,58,Department of Telecommunications,Compensation to Service Providers for creation and augmentation of telecom infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 13,58.01,Department of Telecommunications,Bharatnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,415.0,0.0,True
Demand No. 13,58.02,Department of Telecommunications,Compensation to Telecom Service Providers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,415.0,0.0,True
Demand No. 13,0,Department of Telecommunications,Total-Compensation to Service Providers for creation and augmentation of telecom infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,415.0,830.0,0.0,True
Demand No. 13,59,Department of Telecommunications,Centre for Development of Telematics (C-DoT),27.03,0.0,27.03,41.5,0.0,41.5,41.5,0.0,41.5,45.65,0.0,45.65,27.03,True
Demand No. 14,0,Department of Consumer Affairs,Total,2.41,0.0,2.41,2.08,0.0,2.08,1.45,0.0,1.45,1.5,0.0,1.5,2.41,True
Demand No. 14,60,Department of Consumer Affairs,Consumer Awareness (Advertising and Publicity),2.41,0.0,2.41,2.08,0.0,2.08,1.45,0.0,1.45,1.5,0.0,1.5,2.41,True
Demand No. 15,0,Department of Food and Public Distribution,Total,23913.37,0.0,23913.37,17666.34,0.0,17666.34,24492.2,0.0,24492.2,18693.48,0.0,18693.48,23913.37,True
Demand No. 15,61,Department of Food and Public Distribution,Generating Awareness amongst TPDS beneficiaries,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.0,0.68,0.68,0.0,0.68,0.0,True
Demand No. 15,62,Department of Food and Public Distribution,Integrated Management of Public Distribution System,0.5,0.0,0.5,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.5,True
Demand No. 15,63,Department of Food and Public Distribution,Sugar Subsidy payable under Public Distribution System,20.75,0.0,20.75,29.05,0.0,29.05,29.05,0.0,29.05,29.05,0.0,29.05,20.75,True
Demand No. 15,64,Department of Food and Public Distribution,Food Subsidy  to Food Corporation of India under National Food Security Act.,17191.0,0.0,17191.0,12111.35,0.0,12111.35,17819.77,0.0,17819.77,12520.7,0.0,12520.7,17191.0,True
Demand No. 15,65,Department of Food and Public Distribution,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,6236.25,0.0,6236.25,5026.58,0.0,5026.58,6144.02,0.0,6144.02,5479.3,0.0,5479.3,6236.25,True
Demand No. 15,66,Department of Food and Public Distribution,Fortification of Rice and its Distribution under Public Distribution System,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,True
Demand No. 15,67,Department of Food and Public Distribution,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA,464.8,0.0,464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.8,True
Demand No. 15,68,Department of Food and Public Distribution,Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA,0.0,0.0,0.0,495.68,0.0,495.68,495.68,0.0,495.68,663.75,0.0,663.75,0.0,True
Demand No. 16,0,Ministry of Cooperation,Total,0.0,0.0,0.0,121.2,0.0,121.2,164.86,0.0,164.86,9.15,0.0,9.15,0.0,True
Demand No. 16,69,Ministry of Cooperation,Integrated Scheme on Agriculture Cooperation (ISAC),0.0,0.0,0.0,8.3,0.0,8.3,110.22,0.0,110.22,0.0,0.0,0.0,0.0,True
Demand No. 16,70,Ministry of Cooperation,Co-operative Education,0.0,0.0,0.0,4.99,0.0,4.99,4.99,0.0,4.99,4.99,0.0,4.99,0.0,True
Demand No. 16,71,Ministry of Cooperation,Cooperative Training,0.0,0.0,0.0,4.16,0.0,4.16,4.16,0.0,4.16,4.16,0.0,4.16,0.0,True
Demand No. 16,72,Ministry of Cooperation,Computerization of Primary Agricultural Credit Societies,0.0,0.0,0.0,58.26,0.0,58.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 16,73,Ministry of Cooperation,Prosperity through Cooperatives,0.0,0.0,0.0,45.49,0.0,45.49,45.49,0.0,45.49,0.0,0.0,0.0,0.0,True
Demand No. 18,0,Ministry of Culture,Total,60.78,0.0,60.78,44.2,0.0,44.2,69.46,0.0,69.46,54.01,0.0,54.01,60.78,True
Demand No. 18,74,Ministry of Culture,"Centenaries and Anniversaries,  Celebrations and Schemes",31.84,0.0,31.84,4.15,0.0,4.15,6.64,0.0,6.64,9.06,0.0,9.06,31.84,True
Demand No. 18,75,Ministry of Culture,Kala Sanskriti Vikas Yojana,22.66,0.0,22.66,26.38,0.0,26.38,29.59,0.0,29.59,30.0,0.0,30.0,22.66,True
Demand No. 18,76,Ministry of Culture,Development of Museums,6.28,0.0,6.28,9.2,0.0,9.2,32.5,0.0,32.5,14.2,0.0,14.2,6.28,True
Demand No. 18,77,Ministry of Culture,Development of Libraries and Archives,0.0,0.0,0.0,3.74,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 18,78,Ministry of Culture,National mission on cultural mapping and roadmap,0.0,0.0,0.0,0.73,0.0,0.73,0.73,0.0,0.73,0.75,0.0,0.75,0.0,True
Demand No. 23,0,Ministry of Development of North Eastern Region,Total,218.91,0.0,218.91,230.54,0.0,230.54,230.54,100.0,330.54,108.0,380.0,488.0,218.91,True
Demand No. 23,79,Ministry of Development of North Eastern Region,Schemes of North East Council,25.83,0.0,25.83,40.54,0.0,40.54,45.54,0.0,45.54,68.0,0.0,68.0,25.83,True
Demand No. 23,80,Ministry of Development of North Eastern Region,Schemes of North East Council - Special Development Projects,19.17,0.0,19.17,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.17,True
Demand No. 23,81,Ministry of Development of North Eastern Region,Central Pool of Resources for North East and Sikkim,68.91,0.0,68.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91,True
Demand No. 23,82,Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 23,82.01,Ministry of Development of North Eastern Region,NESIDS Programme,105.0,0.0,105.0,185.0,0.0,185.0,175.0,0.0,175.0,0.0,220.0,220.0,105.0,True
Demand No. 23,83,Ministry of Development of North Eastern Region,Prime Minister's Development Initiative for North East Region (PM-DevINE),0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,110.0,40.0,160.0,200.0,0.0,True
Demand No. 25,0,Department of School Education and Literacy,Total,6944.17,0.0,6944.17,10993.95,0.0,10993.95,9990.48,0.0,9990.48,12876.01,0.0,12876.01,6944.17,True
Demand No. 25,84,Department of School Education and Literacy,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),0.0,0.0,0.0,2046.39,0.0,2046.39,2455.71,0.0,2455.71,2320.27,0.0,2320.27,0.0,True
Demand No. 25,85,Department of School Education and Literacy,National Means cum Merit Scholarship Scheme,35.47,0.0,35.47,66.0,0.0,66.0,51.0,0.0,51.0,61.0,0.0,61.0,35.47,True
Demand No. 25,86,Department of School Education and Literacy,Teachers Training and Adult Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 25,86.01,Department of School Education and Literacy,Padhna Likhna Abhiyan,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,True
Demand No. 25,86.02,Department of School Education and Literacy,New India Literacy Programme (NILP),0.0,0.0,0.0,20.6,0.0,20.6,16.98,0.0,16.98,0.0,0.0,0.0,0.0,True
Demand No. 25,0,Department of School Education and Literacy,Total-Teachers Training and Adult Education,0.19,0.0,0.19,20.6,0.0,20.6,16.98,0.0,16.98,0.0,0.0,0.0,0.19,True
Demand No. 25,87,Department of School Education and Literacy,National Programme of Mid Day Meal in Schools,1899.97,0.0,1899.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.97,True
Demand No. 25,88,Department of School Education and Literacy,Kendriya Vidyalaya Sangathan (KVS),104.0,0.0,104.0,160.0,0.0,160.0,157.0,0.0,157.0,1170.0,0.0,1170.0,104.0,True
Demand No. 25,89,Department of School Education and Literacy,Navodaya Vidyalaya Samiti (NVS),557.0,0.0,557.0,612.0,0.0,612.0,713.76,0.0,713.76,816.2,0.0,816.2,557.0,True
Demand No. 25,90,Department of School Education and Literacy,Samagra Shiksha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 25,90.01,Department of School Education and Literacy,Support for Samagra Shiksha,4299.33,0.0,4299.33,7534.96,0.0,7534.96,6444.05,0.0,6444.05,7534.96,0.0,7534.96,4299.33,True
Demand No. 25,91,Department of School Education and Literacy,Strengthening Teaching-Learning and Results for States (STARS),48.21,0.0,48.21,90.0,0.0,90.0,73.0,0.0,73.0,145.0,0.0,145.0,48.21,True
Demand No. 25,92,Department of School Education and Literacy,Exemplar,0.0,0.0,0.0,359.0,0.0,359.0,78.98,0.0,78.98,0.0,0.0,0.0,0.0,True
Demand No. 25,93,Department of School Education and Literacy,ASPIRE (Accelerating State Education Program to Improve Results),0.0,0.0,0.0,105.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Demand No. 25,94,Department of School Education and Literacy,PM Schools for Rising India (PM SHRI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,0.0,True
Demand No. 25,95,Department of School Education and Literacy,New India Literacy Programme (NILP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.58,0.0,28.58,0.0,True
Demand No. 26,0,Department of Higher Education,Total,2922.26,0.0,2922.26,3889.0,0.0,3889.0,3889.0,0.0,3889.0,4032.0,0.0,4032.0,2922.26,True
Demand No. 26,96,Department of Higher Education,"Central University, Andhra Pradesh",13.49,0.0,13.49,4.0,0.0,4.0,0.89,0.0,0.89,3.0,0.0,3.0,13.49,True
Demand No. 26,97,Department of Higher Education,Andhra Pradesh and Telangana Tribal Universities,0.55,0.0,0.55,3.5,0.0,3.5,3.44,0.0,3.44,2.5,0.0,2.5,0.55,True
Demand No. 26,98,Department of Higher Education,Grants to Central Universities (CUs),647.26,0.0,647.26,594.0,0.0,594.0,872.4,0.0,872.4,722.0,0.0,722.0,647.26,True
Demand No. 26,99,Department of Higher Education,Impactful Policy Research in Social Science (IMPRESS),0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
